Date,Open,High,Low,Close,Adj Close,Volume
22/03/2011,10.59,10.59,10.59,10.59,8.074766,0
23/03/2011,10.59,10.59,10.59,10.59,8.074766,0
24/03/2011,10.57,10.57,10.57,10.57,8.059523,0
25/03/2011,10.55,10.55,10.55,10.55,8.044273,0
28/03/2011,10.55,10.55,10.55,10.55,8.044273,0
29/03/2011,10.53,10.53,10.53,10.53,8.029018,0
30/03/2011,10.55,10.55,10.55,10.55,8.044273,0
31/03/2011,10.54,10.54,10.54,10.54,8.059566,0
01/04/2011,10.54,10.54,10.54,10.54,8.059566,0
04/04/2011,10.56,10.56,10.56,10.56,8.074861,0
05/04/2011,10.53,10.53,10.53,10.53,8.051917,0
06/04/2011,10.51,10.51,10.51,10.51,8.036623,0
07/04/2011,10.51,10.51,10.51,10.51,8.036623,0
08/04/2011,10.5,10.5,10.5,10.5,8.028978,0
11/04/2011,10.5,10.5,10.5,10.5,8.028978,0
12/04/2011,10.54,10.54,10.54,10.54,8.059566,0
13/04/2011,10.55,10.55,10.55,10.55,8.06721,0
14/04/2011,10.54,10.54,10.54,10.54,8.059566,0
15/04/2011,10.58,10.58,10.58,10.58,8.090149,0
18/04/2011,10.6,10.6,10.6,10.6,8.105446,0
19/04/2011,10.61,10.61,10.61,10.61,8.113089,0
20/04/2011,10.59,10.59,10.59,10.59,8.097795,0
21/04/2011,10.59,10.59,10.59,10.59,8.097795,0
25/04/2011,10.61,10.61,10.61,10.61,8.113089,0
26/04/2011,10.63,10.63,10.63,10.63,8.128383,0
27/04/2011,10.62,10.62,10.62,10.62,8.120738,0
28/04/2011,10.64,10.64,10.64,10.64,8.136028,0
29/04/2011,10.65,10.65,10.65,10.65,8.1667,0
02/05/2011,10.65,10.65,10.65,10.65,8.1667,0
03/05/2011,10.67,10.67,10.67,10.67,8.182039,0
04/05/2011,10.68,10.68,10.68,10.68,8.189708,0
05/05/2011,10.71,10.71,10.71,10.71,8.212713,0
06/05/2011,10.71,10.71,10.71,10.71,8.212713,0
09/05/2011,10.71,10.71,10.71,10.71,8.212713,0
10/05/2011,10.68,10.68,10.68,10.68,8.189708,0
11/05/2011,10.7,10.7,10.7,10.7,8.205045,0
12/05/2011,10.69,10.69,10.69,10.69,8.197373,0
13/05/2011,10.71,10.71,10.71,10.71,8.212713,0
16/05/2011,10.72,10.72,10.72,10.72,8.220381,0
17/05/2011,10.74,10.74,10.74,10.74,8.235719,0
18/05/2011,10.71,10.71,10.71,10.71,8.212713,0
19/05/2011,10.71,10.71,10.71,10.71,8.212713,0
20/05/2011,10.72,10.72,10.72,10.72,8.220381,0
23/05/2011,10.73,10.73,10.73,10.73,8.228056,0
24/05/2011,10.73,10.73,10.73,10.73,8.228056,0
25/05/2011,10.73,10.73,10.73,10.73,8.228056,0
26/05/2011,10.76,10.76,10.76,10.76,8.251053,0
27/05/2011,10.75,10.75,10.75,10.75,8.243385,0
31/05/2011,10.76,10.76,10.76,10.76,8.274144,0
01/06/2011,10.8,10.8,10.8,10.8,8.304907,0
02/06/2011,10.76,10.76,10.76,10.76,8.274144,0
03/06/2011,10.78,10.78,10.78,10.78,8.289526,0
06/06/2011,10.77,10.77,10.77,10.77,8.281837,0
07/06/2011,10.79,10.79,10.79,10.79,8.297212,0
08/06/2011,10.8,10.8,10.8,10.8,8.304907,0
09/06/2011,10.77,10.77,10.77,10.77,8.281837,0
10/06/2011,10.78,10.78,10.78,10.78,8.289526,0
13/06/2011,10.77,10.77,10.77,10.77,8.281837,0
14/06/2011,10.72,10.72,10.72,10.72,8.243382,0
15/06/2011,10.77,10.77,10.77,10.77,8.281837,0
16/06/2011,10.78,10.78,10.78,10.78,8.289526,0
17/06/2011,10.77,10.77,10.77,10.77,8.281837,0
20/06/2011,10.77,10.77,10.77,10.77,8.281837,0
21/06/2011,10.76,10.76,10.76,10.76,8.274144,0
22/06/2011,10.77,10.77,10.77,10.77,8.281837,0
23/06/2011,10.79,10.79,10.79,10.79,8.297212,0
24/06/2011,10.8,10.8,10.8,10.8,8.304907,0
27/06/2011,10.77,10.77,10.77,10.77,8.281837,0
28/06/2011,10.72,10.72,10.72,10.72,8.243382,0
29/06/2011,10.7,10.7,10.7,10.7,8.228009,0
30/06/2011,10.69,10.69,10.69,10.69,8.242658,0
01/07/2011,10.68,10.68,10.68,10.68,8.234949,0
05/07/2011,10.71,10.71,10.71,10.71,8.258076,0
06/07/2011,10.72,10.72,10.72,10.72,8.265787,0
07/07/2011,10.7,10.7,10.7,10.7,8.250369,0
08/07/2011,10.75,10.75,10.75,10.75,8.288927,0
11/07/2011,10.79,10.79,10.79,10.79,8.319759,0
12/07/2011,10.79,10.79,10.79,10.79,8.319759,0
13/07/2011,10.8,10.8,10.8,10.8,8.327471,0
14/07/2011,10.77,10.77,10.77,10.77,8.304342,0
15/07/2011,10.78,10.78,10.78,10.78,8.312055,0
18/07/2011,10.77,10.77,10.77,10.77,8.304342,0
19/07/2011,10.79,10.79,10.79,10.79,8.319759,0
20/07/2011,10.77,10.77,10.77,10.77,8.304342,0
21/07/2011,10.75,10.75,10.75,10.75,8.288927,0
22/07/2011,10.77,10.77,10.77,10.77,8.304342,0
25/07/2011,10.75,10.75,10.75,10.75,8.288927,0
26/07/2011,10.77,10.77,10.77,10.77,8.304342,0
27/07/2011,10.75,10.75,10.75,10.75,8.288927,0
28/07/2011,10.77,10.77,10.77,10.77,8.304342,0
29/07/2011,10.83,10.83,10.83,10.83,8.373152,0
01/08/2011,10.86,10.86,10.86,10.86,8.396342,0
02/08/2011,10.92,10.92,10.92,10.92,8.442737,0
03/08/2011,10.92,10.92,10.92,10.92,8.442737,0
04/08/2011,10.99,10.99,10.99,10.99,8.496855,0
05/08/2011,10.91,10.91,10.91,10.91,8.435002,0
08/08/2011,10.96,10.96,10.96,10.96,8.47366,0
09/08/2011,10.99,10.99,10.99,10.99,8.496855,0
10/08/2011,11.06,11.06,11.06,11.06,8.550977,0
11/08/2011,10.95,10.95,10.95,10.95,8.465933,0
12/08/2011,10.99,10.99,10.99,10.99,8.496855,0
15/08/2011,10.97,10.97,10.97,10.97,8.481391,0
16/08/2011,11,11,11,11,8.504586,0
17/08/2011,11.03,11.03,11.03,11.03,8.527781,0
18/08/2011,11.05,11.05,11.05,11.05,8.543242,0
19/08/2011,11.04,11.04,11.04,11.04,8.535514,0
22/08/2011,11.03,11.03,11.03,11.03,8.527781,0
23/08/2011,10.99,10.99,10.99,10.99,8.496855,0
24/08/2011,10.92,10.92,10.92,10.92,8.442737,0
25/08/2011,10.94,10.94,10.94,10.94,8.458196,0
26/08/2011,10.96,10.96,10.96,10.96,8.47366,0
29/08/2011,10.93,10.93,10.93,10.93,8.450469,0
30/08/2011,10.97,10.97,10.97,10.97,8.481391,0
31/08/2011,10.96,10.96,10.96,10.96,8.496895,0
01/09/2011,11,11,11,11,8.527911,0
02/09/2011,11.05,11.05,11.05,11.05,8.566671,0
06/09/2011,11.06,11.06,11.06,11.06,8.574425,0
07/09/2011,11.02,11.02,11.02,11.02,8.543415,0
08/09/2011,11.04,11.04,11.04,11.04,8.558917,0
09/09/2011,11.06,11.06,11.06,11.06,8.574425,0
12/09/2011,11.04,11.04,11.04,11.04,8.558917,0
13/09/2011,11.02,11.02,11.02,11.02,8.543415,0
14/09/2011,11.02,11.02,11.02,11.02,8.543415,0
15/09/2011,10.99,10.99,10.99,10.99,8.520154,0
16/09/2011,11,11,11,11,8.527911,0
19/09/2011,11.04,11.04,11.04,11.04,8.558917,0
20/09/2011,11.04,11.04,11.04,11.04,8.558917,0
21/09/2011,11.08,11.08,11.08,11.08,8.589927,0
22/09/2011,11.13,11.13,11.13,11.13,8.628688,0
23/09/2011,11.07,11.07,11.07,11.07,8.582176,0
26/09/2011,11.03,11.03,11.03,11.03,8.551167,0
27/09/2011,10.99,10.99,10.99,10.99,8.520154,0
28/09/2011,10.99,10.99,10.99,10.99,8.520154,0
29/09/2011,10.99,10.99,10.99,10.99,8.520154,0
30/09/2011,11.03,11.03,11.03,11.03,8.573792,0
03/10/2011,11.07,11.07,11.07,11.07,8.604885,0
04/10/2011,11.03,11.03,11.03,11.03,8.573792,0
05/10/2011,11.01,11.01,11.01,11.01,8.558246,0
06/10/2011,10.96,10.96,10.96,10.96,8.519376,0
07/10/2011,10.94,10.94,10.94,10.94,8.503829,0
10/10/2011,10.9,10.9,10.9,10.9,8.472737,0
11/10/2011,10.91,10.91,10.91,10.91,8.480519,0
12/10/2011,10.9,10.9,10.9,10.9,8.472737,0
13/10/2011,10.92,10.92,10.92,10.92,8.488285,0
14/10/2011,10.9,10.9,10.9,10.9,8.472737,0
17/10/2011,10.94,10.94,10.94,10.94,8.503829,0
18/10/2011,10.93,10.93,10.93,10.93,8.496055,0
19/10/2011,10.94,10.94,10.94,10.94,8.503829,0
20/10/2011,10.93,10.93,10.93,10.93,8.496055,0
21/10/2011,10.92,10.92,10.92,10.92,8.488285,0
24/10/2011,10.92,10.92,10.92,10.92,8.488285,0
25/10/2011,10.98,10.98,10.98,10.98,8.534922,0
26/10/2011,10.95,10.95,10.95,10.95,8.511602,0
27/10/2011,10.9,10.9,10.9,10.9,8.472737,0
28/10/2011,10.94,10.94,10.94,10.94,8.503829,0
31/10/2011,11.02,11.02,11.02,11.02,8.588786,0
01/11/2011,11.08,11.08,11.08,11.08,8.635548,0
02/11/2011,11.06,11.06,11.06,11.06,8.619957,0
03/11/2011,11.03,11.03,11.03,11.03,8.596575,0
04/11/2011,11.04,11.04,11.04,11.04,8.604372,0
07/11/2011,11.05,11.05,11.05,11.05,8.612164,0
08/11/2011,11.01,11.01,11.01,11.01,8.580991,0
09/11/2011,11.04,11.04,11.04,11.04,8.604372,0
10/11/2011,11.01,11.01,11.01,11.01,8.580991,0
11/11/2011,10.99,10.99,10.99,10.99,8.565403,0
14/11/2011,11.01,11.01,11.01,11.01,8.580991,0
15/11/2011,11,11,11,11,8.573196,0
16/11/2011,11.02,11.02,11.02,11.02,8.588786,0
17/11/2011,11.02,11.02,11.02,11.02,8.588786,0
18/11/2011,11,11,11,11,8.573196,0
21/11/2011,11.01,11.01,11.01,11.01,8.580991,0
22/11/2011,11.02,11.02,11.02,11.02,8.588786,0
23/11/2011,11.03,11.03,11.03,11.03,8.596575,0
25/11/2011,10.99,10.99,10.99,10.99,8.565403,0
28/11/2011,11,11,11,11,8.573196,0
29/11/2011,10.98,10.98,10.98,10.98,8.557604,0
30/11/2011,10.96,10.96,10.96,10.96,8.563857,0
01/12/2011,10.95,10.95,10.95,10.95,8.556044,0
02/12/2011,10.99,10.99,10.99,10.99,8.587303,0
05/12/2011,10.99,10.99,10.99,10.99,8.587303,0
06/12/2011,10.98,10.98,10.98,10.98,8.579482,0
07/12/2011,11,11,11,11,8.595117,0
08/12/2011,11.02,11.02,11.02,11.02,8.610745,0
